Proportion_Surviving,Trout
0.20433626179545922,Absent
0.4159952383143458,Absent
0.27566411501033544,Absent
0.20948083926083613,Absent
0.26478090813160093,Absent
0.3557361443530279,Absent
0.23737569387863755,Absent
0.23427933576400203,Absent
0.29256503336063105,Absent
0.2739452184601384,Absent
0.21126485493951822,Absent
0.2883197864699713,Absent
0.25621169076500244,Absent
0.43173465558055235,Absent
0.2003064019735689,Absent
0.20490483416889055,Present
0.14766853151638737,Present
0.27780618555787384,Present
0.21195697566004448,Present
0.36316347727814907,Present
0.3190112381256178,Present
0.15473691760579852,Present
0.1309036171078265,Present
0.20518431289005704,Present
0.32456460864413367,Present
0.18246766835855666,Present
0.2246969484822585,Present
0.1832678879764071,Present
0.2780509246013582,Present
0.13817001766316642,Present
